companyname,total_tripdistance_feet,total_tripduration_min,per_min_rate,total_num_trips,revenue_per_trip_usd,revenue_per_mile,total_revenue
Bird,631469600.3,2046202, $0.15 ,148817," $148,817.00 "," $17,939.48 ","$28,758.48 "
Bolt Mobility,177184752.6,30821497, $0.30 ,21890," $21,890.00 "," $10,067.32 ","$11,299.32 "
Gotcha,37435233.86,33802.78333, $0.15 ,3315," $3,315.00 "," $1,063.50 ","$1,250.50 "
JUMP,38531961.6,211001.2998, $0.06 ,6437," $6,437.00 ", $437.86 ,"$1,287.86 "
Lime,947509569.1,3507335.4, $0.23 ,225317," $225,317.00 "," $41,274.09 ","$91,553.09 "
Lyft,783375169.4,1936369.531, $0.15 ,120991," $120,991.00 "," $22,254.98 ","$25,836.98 "
SPIN,99860278.79,900575, $0.23 ,34450," $34,450.00 "," $4,349.97 ","$5,946.97 "
,,,,,,,
,,,,,,Total Revenue,"$165,933.20 "
,,,,,,Per Month,"$55,311.07 "
,,,,,,Per Day,"$1,803.62 "
